key,ko,en
mainBannerTitle1,외국인을 위한,For foreigners
mainBannerTitle2,채용 플랫폼,recruitment platform
mainBannerSubtitle,한국에서 일자리를 찾고 있는 외국인을 위한 맞춤형 취업 정보와 서비스를 제공합니다,It provides customized employment information and services for foreigners looking for a job in Korea
viewRecruitment,채용정보 보기,View Recruitment
searchTitle,원하는 일자리를 찾아보세요,Find the job you want
searchSubTitle,"키워드, 지역, 직종 등으로 맞춤형 채용정보를 검색할 수 있습니다.","You can search for customized recruitment information by keyword, region, occupation, etc."
placeholder,"직무, 회사명, 키워드","Job, company name, keyword"
searchButton,검색,search
popularRecruitmentTitle,인기 채용 분야, Popular recruitment field
popularRecruitmentSubTitle,다양한 산업 분야의 채용 정보를 확인하세요,Check out recruitment information in various industries
allCategory,모든 카테고리,All fields
it-dev,IT/개발,IT/Developer
service,서비스업,service
manufacturing,제조/생산,manufacturing
education,교육,education
office,사무/관리,Office
sales,영업/마케팅,Sales
